microcolony.num,og.col,treatment,start.date,num.dead,brood.produced,first.brood.date,pollen.given,larval.ejection,date.first.male,num.males,end.num.workers,total.offspring,male.avg.size,fat.content.avg,worker.avg.size,end.date,cage.type,notes
1,brd1,control,2023-04-26,2,yes,2023-05-01,4,7,2023-06-05,3,4,50,0.209,,0.187,2023-06-10,hoarding cage ,
2,brd2,control,2023-04-26,3,yes,2023-05-03,6,8,2023-06-07,1,3,41,,,0.219,2023-06-10,hoarding cage ,
3,brd1,control,2023-04-26,1,yes,2023-05-05,4,23,2023-06-09,2,5,52,0.21,,0.216,2023-06-10,hoarding cage ,
4,brd2,control,2023-04-26,4,yes,2023-05-08,4,2,,0,2,20,,,0.2,2023-06-10,hoarding cage ,
5,brd1,control,2023-04-26,1,yes,2023-05-01,4,5,2023-05-29,5,5,24,0.2208,,0.193,2023-06-10,hoarding cage ,
6,brd2,blue,2023-04-26,0,yes,2023-05-01,5,5,2023-05-31,15,6,84,0.241,,0.219,2023-06-10,hoarding cage ,
7,brd1,blue,2023-04-26,3,yes,2023-05-01,4,10,2023-05-29,5,3,30,0.2298,,0.215,2023-06-10,hoarding cage ,
8,brd2,blue,2023-04-26,2,yes,2023-05-03,6,9,2023-06-09,1,4,47,0.196,,0.2,2023-06-10,hoarding cage ,
9,brd1,blue,2023-04-26,1,yes,2023-05-01,4,9,2023-05-29,9,5,67,0.21685,,0.223,2023-06-10,hoarding cage ,
10,brd2,blue,2023-04-26,1,yes,2023-05-03,5,4,2023-06-05,5,5,56,0.24075,,0.219,2023-06-10,hoarding cage ,
11,brd1,pink,2023-04-26,1,yes,2023-05-01,3,0,2023-06-05,4,5,37,0.21525,,0.1832,2023-06-10,hoarding cage ,
12,brd2,pink,2023-04-26,4,yes,2023-05-01,3,14,2023-06-05,3,2,31,0.2176666,,0.236,2023-06-10,hoarding cage ,
13,brd1,pink,2023-04-26,1,yes,2023-05-01,5,4,2023-06-05,7,5,48,0.2085,,0.204,2023-06-10,hoarding cage ,
14,brd2,pink,2023-04-26,4,yes,2023-05-03,3,3,2023-06-09,1,2,16,,,0.2125,2023-06-10,hoarding cage ,
15,brd1,pink,2023-04-26,3,yes,2023-05-01,3,13,2023-06-05,5,3,36,0.226,,0.236,2023-06-10,hoarding cage ,
16,brd2,control,2023-04-28,3,yes,2023-05-24,2,1,,0,3,3,,,0.234,2023-06-12,hoarding cage ,
17,brd1,control,2023-04-28,1,yes,2023-05-01,3,9,2023-05-31,1,5,22,0.226,,0.2268,2023-06-12,hoarding cage ,
18,brd2,control,2023-04-28,3,no,,3,3,,0,3,0,,,0.2395,2023-06-12,hoarding cage ,
19,brd1,control,2023-04-28,2,yes,2023-05-01,4,3,2023-06-09,1,4,16,0.237,,0.24425,2023-06-12,hoarding cage ,
20,brd2,control,2023-04-28,1,yes,2023-05-08,4,11,2023-06-05,3,5,41,0.23733,,0.2202,2023-06-12,hoarding cage ,
21,brd1,blue,2023-04-28,0,yes,2023-05-03,5,8,2023-06-05,5,6,100,0.2256,,0.2235,2023-06-12,hoarding cage ,
22,brd2,blue,2023-04-28,2,yes,2023-05-08,4,0,2023-06-05,6,4,58,0.227833,,0.2265,2023-06-12,hoarding cage ,
23,brd1,blue,2023-04-28,0,yes,2023-05-01,4,7,2023-06-05,8,6,66,0.235714,,0.222333,2023-06-12,hoarding cage ,
24,brd2,blue,2023-04-28,0,yes,2023-05-12,4,0,2023-06-12,1,6,32,0.215,,0.204,2023-06-12,hoarding cage ,
25,brd1,blue,2023-04-28,2,yes,2023-05-08,3,0,2023-06-07,4,4,30,0.244,,0.20525,2023-06-12,hoarding cage ,
26,brd2,pink,2023-04-28,2,yes,2023-05-08,3,1,2023-06-05,2,4,32,0.248,,0.21125,2023-06-12,hoarding cage ,
27,brd1,pink,2023-04-28,0,yes,2023-05-10,3,0,2023-06-08,5,4,18,0.2334,,0.22775,2023-06-12,hoarding cage ,
28,brd2,pink,2023-04-28,2,yes,2023-05-05,7,12,2023-06-08,2,6,57,0.25,,0.2208333,2023-06-12,hoarding cage ,
29,brd1,pink,2023-04-28,1,yes,2023-05-01,5,3,2023-06-07,3,5,25,0.22,,0.2046,2023-06-12,hoarding cage ,
30,brd2,pink,2023-04-28,1,yes,2023-05-08,3,0,2023-06-05,7,5,52,0.217,,0.2112,2023-06-12,hoarding cage ,
31,brd1,control,2023-05-12,1,yes,2023-05-15,4,1,2023-06-19,2,5,17,0.241,,0.2748,2023-06-26,queen cage,
32,brd2,control,2023-05-12,1,yes,2023-05-15,6,6,2023-06-23,1,5,28,0.225,,0.2788,2023-06-26,queen cage,
33,brd1,control,2023-05-12,1,yes,2023-05-15,4,2,2023-06-14,4,5,31,0.2245,,0.23633,2023-06-26,queen cage,2 dead males
34,brd2,control,2023-05-12,0,yes,2023-05-15,5,2,2023-06-23,1,6,5,0.192,,0.229,2023-06-26,queen cage,Dead male- do not count 
